[2026-06-07 12:56:29,771][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/gpt2/resolve/main/tokenizer_config.json "HTTP/1.1 200 OK"
[2026-06-07 12:56:30,038][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/gpt2/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 307 Temporary Redirect"
[2026-06-07 12:56:30,288][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/openai-community/gpt2/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
[2026-06-07 12:56:30,531][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/gpt2/tree/main?recursive=true&expand=false "HTTP/1.1 307 Temporary Redirect"
[2026-06-07 12:56:30,785][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/openai-community/gpt2/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
[2026-06-07 12:56:35,491][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/Salesforce/wikitext/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
[2026-06-07 12:56:35,494][huggingface_hub.utils._http][WARNING] - Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[2026-06-07 12:56:35,554][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/datasets/Salesforce/wikitext/b08601e04326c79dfdd32d625aee71d232d685c3/README.md "HTTP/1.1 200 OK"
[2026-06-07 12:56:35,804][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/Salesforce/wikitext/resolve/b08601e04326c79dfdd32d625aee71d232d685c3/wikitext.py "HTTP/1.1 404 Not Found"
[2026-06-07 12:56:36,553][httpx][INFO] - HTTP Request: HEAD https://s3.amazonaws.com/datasets.huggingface.co/datasets/datasets/Salesforce/wikitext/Salesforce/wikitext.py "HTTP/1.1 404 Not Found"
[2026-06-07 12:56:36,807][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/datasets/Salesforce/wikitext/revision/b08601e04326c79dfdd32d625aee71d232d685c3 "HTTP/1.1 200 OK"
[2026-06-07 12:56:37,055][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/Salesforce/wikitext/resolve/b08601e04326c79dfdd32d625aee71d232d685c3/.huggingface.yaml "HTTP/1.1 404 Not Found"
[2026-06-07 12:56:37,426][httpx][INFO] - HTTP Request: GET https://datasets-server.huggingface.co/info?dataset=Salesforce/wikitext "HTTP/1.1 200 OK"
[2026-06-07 12:56:37,674][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/datasets/Salesforce/wikitext/tree/b08601e04326c79dfdd32d625aee71d232d685c3/wikitext-103-raw-v1?recursive=true&expand=false "HTTP/1.1 200 OK"
[2026-06-07 12:56:37,933][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/datasets/Salesforce/wikitext/tree/b08601e04326c79dfdd32d625aee71d232d685c3?recursive=false&expand=false "HTTP/1.1 200 OK"
[2026-06-07 12:56:38,236][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/Salesforce/wikitext/resolve/b08601e04326c79dfdd32d625aee71d232d685c3/dataset_infos.json "HTTP/1.1 404 Not Found"
[2026-06-07 12:56:38,507][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/datasets/Salesforce/wikitext/tree/b08601e04326c79dfdd32d625aee71d232d685c3/wikitext-2-raw-v1?recursive=true&expand=false "HTTP/1.1 200 OK"
[2026-06-07 12:56:44,950][asyncio][WARNING] - socket.send() raised exception.
[2026-06-07 12:56:44,951][asyncio][WARNING] - socket.send() raised exception.
[2026-06-07 12:56:44,953][asyncio][WARNING] - socket.send() raised exception.
[2026-06-07 12:56:44,955][asyncio][WARNING] - socket.send() raised exception.
[2026-06-07 12:56:44,956][asyncio][WARNING] - socket.send() raised exception.
[2026-06-07 12:56:44,959][asyncio][WARNING] - socket.send() raised exception.
[2026-06-07 12:56:44,960][asyncio][WARNING] - socket.send() raised exception.
[2026-06-07 12:56:44,961][asyncio][WARNING] - socket.send() raised exception.
[2026-06-07 12:56:44,961][asyncio][WARNING] - socket.send() raised exception.
[2026-06-07 12:56:44,962][asyncio][WARNING] - socket.send() raised exception.
[2026-06-07 12:56:44,963][asyncio][WARNING] - socket.send() raised exception.
[2026-06-07 12:56:44,964][asyncio][WARNING] - socket.send() raised exception.
[2026-06-07 12:56:44,966][asyncio][WARNING] - socket.send() raised exception.
[2026-06-07 12:56:44,974][asyncio][WARNING] - socket.send() raised exception.
